Name,Team,Pos,Fantasy_Points
Kenny Golladay,NYG,WR,5.1
Anthony Schwartz,CLE,WR,16.8
Amari Rodgers,GB,WR,5
Chris Conley,TEN,WR,4.6
Brandon Johnson,DEN,WR,10.2
Laquon Treadwell,SEA,WR,4.2
Isaiah Hodgins,BUF,WR,4.1
Jameson Williams,DET,WR,14.1
Racey McMath,TEN,WR,4
Sammy Watkins,BAL,WR,4
Andre Baccellia,ARI,WR,3.9
Mike Thomas,CIN,WR,3.8
Dax Milne,WAS,WR,9.7
Tim Jones,JAX,WR,3
Michael Woods,CLE,WR,2.5
Tim Jones,JAX,WR,3
Tyrie Cleveland,DEN,WR,2.8
Jaelon Darden,TB,WR,2.6
Daylen Baldwin,CLE,WR,2.5
Simi Fehoko,DAL,WR,2.4
Dezmon Patmon,IND,WR,2.4
Andy Isabella,ARI,WR,2.1
Tylan Wallace,BAL,WR,2.1
Penny Hart,SEA,WR,2
Freddie Swain,DEN,WR,2
Keke Coutee,IND,WR,2
Lil'Jordan Humphrey,NE,WR,2
Keith Kirkwood,NO,WR,1.8
Cole Beasley,BUF,WR,1.8
Juwann Winfree,GB,WR,1.7
Cole Beasley,TB,WR,1.7
Braylon Sanders,MIA,WR,1.7
Dennis Houston,DAL,WR,1.6
Quintez Cephus,DET,WR,1.5
Bryan Edwards,ATL,WR,1.5
Ihmir Smith-Marsette,CHI,WR,1.4
Nsimba Webster,CHI,WR,1.4
Deonte Harty,NO,WR,1.3
Austin Trammell,LAR,WR,1.3
Jalen Tolbert,DAL,WR,1.2
Miles Boykin,PIT,WR,1.1
Danny Gray,SF,WR,1
KaVontae Turpin,DAL,WR,0.9
Tyron Johnson,HOU,WR,0.8
Maurice Alexander,DET,WR,0.7
Jalen Camp,HOU,WR,0.7
Deven Thompkins,TB,WR,1.6
Jacob Harris,LAR,WR,0.6
C.J. Board,TEN,WR,0.6
Jason Moore,LAC,WR,0.5
Mason Kinsey,TEN,WR,0.3
Cody White,PIT,WR,0.2
Montrell Washington,DEN,WR,2.1
Stanley Morgan,CIN,WR,0
Josh Gordon,TEN,WR,0
John Brown,BUF,WR,0
Chris Conley,HOU,WR,0
Tanner Gentry,BUF,WR,0
Kadarius Toney,NYG,WR,0
DJ Turner,LV,WR,0.6
Cade Johnson,SEA,WR,0
Lance McCutcheon,LAR,WR,0
James Washington,DAL,WR,0
