,,,,Receiving,,,Routes Run,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,Rts,TPRR%,YPRR,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,YAC%,Drawn,On
KJ Hamler,DEN,WR,6,14,7,165,120,11.7,1.38,362,25.9,1.8,140,46.7,0,19.3,7.5,25,3.6,15.2,1,0
Marquez Callaway,NO,WR,9,31,16,158,151,20.5,1.05,342,11,1.1,124,53.3,10,14.5,10.6,34,2.1,21.5,0,0
Sterling Shepard,NYG,WR,3,24,13,154,65,36.9,2.37,230,9.6,1.5,102,54.2,12.5,43.9,28.2,52,4,33.8,1,0
Brandon Powell,LAR,WR,13,29,23,154,95,30.5,1.62,23,0.8,0.1,-25,79.3,0,0.9,7.9,179,7.8,116.2,0,0
Kadarius Toney,KC,WR,6,15,12,153,64,23.4,2.39,86,5.7,1,67,80,6.7,5.1,6.3,86,7.2,56.2,0,0
DeSean Jackson,BAL,WR,7,17,9,153,50,34,3.06,291,17.1,2.8,129,52.9,0,20.7,10.2,24,2.7,15.7,0,0
Zach Pascal,PHI,WR,12,19,15,150,87,21.8,1.72,114,6,0.4,60,78.9,0,3.4,5.3,90,6,60,0,0
A.J. Green,ARI,WR,12,42,21,145,239,17.6,0.61,421,10,0.9,125,50,2.4,12.8,8.9,20,1,13.8,0,1
Braxton Berrios,NYJ,WR,14,32,18,145,161,19.9,0.9,198,6.2,0.7,46,56.3,6.3,5.1,6.6,99,5.5,68.3,1,1
Dyami Brown,WAS,WR,7,14,5,143,49,28.6,2.92,364,26,3.6,117,35.7,0,20.8,7,26,5.2,18.2,0,0
Tom Kennedy,DET,WR,6,16,8,141,118,13.6,1.19,127,7.9,0.6,69,57.1,0,11.2,8.4,72,9,51.1,0,1
Cedrick Wilson,MIA,WR,9,18,12,136,104,17.3,1.31,184,10.2,1,90,70.6,0,6.8,5.7,46,3.8,33.8,0,0
Keelan Cole,LV,WR,8,19,9,136,167,11.4,0.81,319,16.8,1.3,117,47.4,10.5,12.7,7,19,2.1,14,1,0
Jeff Smith,NYJ,WR,7,11,8,134,55,20,2.44,135,12.3,1.3,92,72.7,0,7.1,5.1,42,5.3,31.3,0,0
Khalil Shakir,BUF,WR,9,18,9,133,89,20.2,1.49,175,9.7,1,71,50,5.6,6.6,6.1,62,6.9,46.6,1,0
Amari Rodgers,HOU,WR,4,13,9,132,72,18.1,1.83,126,9.7,1.2,88,75,0,12.5,9.8,44,4.9,33.3,0,0
Byron Pringle,CHI,WR,7,15,9,130,109,13.8,1.19,280,18.7,1.4,119,56.3,0,24.5,11.4,11,1.2,8.5,0,0
